CustomerID,FirstName,LastName,Age,Gender,City,Occupation,AnnualIncome,Email,Phone,SignupDate,IsActive
1000,Customer_0,LastName_0,78.0,Female,Gaziantep,Engineer,51790.0,customer1000@email.com,+90 579 327 97 56,2024-09-08,True
1001,Customer_1,LastName_1,45.0,Male,Ankara,Manager,142513.0,customer1001@email.com,+90 546 107 89 10,2024-08-19,True
1002,Customer_2,LastName_2,61.0,Other,Bursa,Doctor,41574.0,customer1002@email.com,+90 587 144 83 19,2023-07-09,True
1003,Customer_3,LastName_3,47.0,Male,Konya,Doctor,56634.0,customer1003@email.com,+90 595 331 77 52,2023-04-02,True
1004,Customer_4,LastName_4,53.0,Male,Bursa,Teacher,64603.0,customer1004@email.com,+90 596 268 21 17,2024-10-28,True
1005,Customer_5,LastName_5,70.0,Male,Konya,Analyst,48330.0,customer1005@email.com,+90 554 699 10 35,2024-06-10,True
1006,Customer_6,LastName_6,59.0,Female,Istanbul,Sales,78802.0,customer1006@email.com,+90 595 206 98 40,2023-04-06,True
1007,Customer_7,LastName_7,75.0,Female,Konya,Designer,84928.0,customer1007@email.com,+90 565 453 46 84,2023-08-14,True
1008,Customer_8,LastName_8,76.0,Other,Bursa,Teacher,92231.0,customer1008@email.com,+90 513 171 53 98,2024-05-14,True
1009,Customer_9,LastName_9,21.0,Male,Ankara,Engineer,34896.0,customer1009@email.com,+90 558 698 49 77,2024-09-21,True
1010,Customer_10,LastName_10,40.0,Male,Konya,Developer,56293.0,customer1010@email.com,+90 580 226 19 79,2023-07-18,True
1011,Customer_11,LastName_11,28.0,Female,Bursa,Consultant,126932.0,customer1011@email.com,+90 513 376 51 93,2024-10-14,True
1012,Customer_12,LastName_12,21.0,Female,Konya,Student,127273.0,customer1012@email.com,+90 590 471 15 20,2024-11-23,True
1013,Customer_13,LastName_13,28.0,Male,Bursa,Analyst,69601.0,customer1013@email.com,+90 591 986 82 21,2023-06-16,False
1014,Customer_14,LastName_14,66.0,Male,Ankara,Analyst,85341.0,customer1014@email.com,+90 540 770 52 67,2023-04-25,True
